----------------------------------------------------
PARAMS: cols = 5	 rows = 1	 lback = 1	 mutations = 5	 popsize = 10	 generations = 2000	 error = 0.000000
 filename=experiments/0/experiment_15/best_chromosome.chr
----------------------------------------------------
Training data:
   file:banknotes.txt, vectors:1372, inputs:4, outputs:1
CGP parameters:
   l-back=1, rows=1, cols=5, functions=9
   popsize=10, mutgenes=5, generations=2000, acceptable error=0.000000
   evalunused=false
Evolutionary run:
   initial fitness=0.980392
Generation: -1		Individual: 5	Accuracy: 0.980392	Used nodes: 0
Generation: 0       	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 1       	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 2       	Individual: 5	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 3       	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 4       	Individual: 5	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 5       	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 6       	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 7       	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 8       	Individual: 6	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 9       	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 10      	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 11      	Individual: 0	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 12      	Individual: 9	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 13      	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 14      	Individual: 2	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 15      	Individual: 5	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 16      	Individual: 6	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 17      	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 18      	Individual: 0	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 19      	Individual: 6	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 20      	Individual: 6	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 21      	Individual: 0	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 22      	Individual: 6	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 23      	Individual: 6	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 24      	Individual: 9	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 25      	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 26      	Individual: 4	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 27      	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 28      	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 29      	Individual: 0	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 30      	Individual: 4	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 31      	Individual: 4	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 32      	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 33      	Individual: 4	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 34      	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 35      	Individual: 5	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 36      	Individual: 9	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 37      	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 38      	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 39      	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 40      	Individual: 2	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 41      	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 42      	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 43      	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 44      	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 45      	Individual: 4	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 46      	Individual: 0	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 47      	Individual: 9	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 48      	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 49      	Individual: 0	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 50      	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 51      	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 52      	Individual: 6	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 53      	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 54      	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 55      	Individual: 4	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 56      	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 57      	Individual: 2	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 58      	Individual: 0	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 59      	Individual: 0	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 60      	Individual: 0	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 61      	Individual: 9	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 62      	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 63      	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 64      	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 65      	Individual: 5	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 66      	Individual: 9	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 67      	Individual: 9	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 68      	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 69      	Individual: 5	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 70      	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 71      	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
