----------------------------------------------------
PARAMS: cols = 5	 rows = 1	 lback = 1	 mutations = 5	 popsize = 10	 generations = 1428	 error = 0.000000
 filename=experiments/011/experiment_18/best_chromosome.chr
----------------------------------------------------
Training data:
   file:banknotes.txt, vectors:1372, inputs:4, outputs:1
CGP parameters:
   l-back=1, rows=1, cols=5, functions=9
   popsize=10, mutgenes=5, generations=1428, acceptable error=0.000000
   evalunused=false
Evolutionary run:
   initial fitness=0.980392
Generation: -1		Individual: 4	Accuracy: 0.980392	Used nodes: 0
Generation: 0       	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 1       	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 2       	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 3       	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 4       	Individual: 2	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 5       	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 6       	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 7       	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 8       	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 9       	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 10      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 11      	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 12      	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 13      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 14      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 15      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 16      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 17      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
